Bar0, 99.84945075008368
Bar1, 99.27265139692489
Bar2, 99.26368560387061
Bar3, 98.67792045765754
Bar4, 95.77001491038553
Bar5, 95.51897270486563
Bar6, 92.33910476828044
Bar7, 88.46887076651552
Bar8, 79.95435596263275
Bar9, 76.08412196086783
Bar10, 71.08419803426345
Bar11, 64.5361805069531
Bar12, 61.04250981346803
Bar13, 59.85005933724857
Bar14, 58.84589051516903
Bar15, 57.69528040653621
Bar16, 55.35221982168395
Bar17, 52.98823905303836
Bar18, 48.46947935368043
Bar19, 45.45697288744179
Bar20, 45.64525454158171
Bar21, 43.260353589142795
Bar22, 42.63274807534309
Bar23, 42.61182789154976
Bar24, 39.934044366004315
Bar25, 39.24367830082463
Bar26, 38.7834342573715
Bar27, 37.94662690563855
Bar28, 99.7030094635304
Bar29, 99.7030094635304
Bar30, 98.53147917110428
Bar31, 98.51288345217687
Bar32, 98.51288345217687
Bar33, 96.64866262970513
Bar34, 93.99179928795301
Bar35, 89.4939597723884
Bar36, 79.45227155159296
Bar37, 73.7619815598089
Bar38, 65.0591851017862
Bar39, 61.20987128381462
Bar40, 59.87097952104189
Bar41, 59.36889511000212
Bar42, 58.69944922861576
Bar43, 58.69944922861576
Bar44, 56.85847305480327
Bar45, 55.18485835133736
Bar46, 53.67860511821805
Bar47, 51.67026747405897
Bar48, 51.16818306301919
Bar49, 50.49873718163283
Bar50, 49.28536652162005
Bar51, 46.31470042296807
Bar52, 44.120405589535004
Bar53, 43.265002518874645
Bar54, 42.61182789154976
