Date_InitialTag,Transect,TransectNum,NewTagNum,Species,Size_Class,MaxDiameter,Height,immune_y/n,Date_DocumentedDisease,Date_DocumentedMortality,062019_TL-052022_TL,052022_TL-122022_TL,122022_TL-092023_TL,092023_TL-012024_TL,012024_TL-042024_TL,042024_TL-062025_TL
44705,SR30N,2,77,OANN,NA,NA,NA,n,Healthy,Healthy,n/a,0,0,n/a,n/a,-23.68421053
44705,SR30N,2,78,DLAB,NA,NA,NA,n,Healthy,Healthy,n/a,-2.5,0,0,-2.564102564,0
44705,SR30N,2,80,OFAV,NA,NA,NA,n,12/4/2022,Diseased,n/a,-10,-36.11111111,-17.39130435,-10.52631579,-5.882352941
43638,SR30N,2,311,MMEA,3,NA,NA,n,Unknown,5/20/2022,-100,,,,,
43638,SR30N,2,320,MMEA,3,18,6,n,Unknown,5/22/2022,-100,,,,,
43638,SR30N,2,325,MMEA,4,NA,NA,n,Unknown,5/20/2022,-100,,,,,
43638,SR30N,2,328,MMEA,3,18,16,n,Unknown,5/22/2022,-100,,,,,
43637,SR30N,2,330,MMEA,4,28,21,n,Unknown,5/22/2022,-100,,,,,
43637,SR30N,2,341,SSID,5,NA,NA,n,Healthy,5/20/2022,-100,,,,,
43637,SR30N,2,344,MMEA,4,NA,NA,n,Unknown,5/22/2022,-100,,,,,
43641,SR30N,2,347,PAST,4,NA,NA,n,NA,5/20/2022,-100,,,,,
43751,SR30N,2,403,PSTR,5,55,34,n,Unknown,5/22/2022,-100,,,,,
43751,SR30N,2,427,PSTR,4,24,15,n,Unknown,5/22/2022,-100,,,,,
6/23/2019,LAGOON,3,1,MMEA,4,24,10,n,Unknown,5/20/2022,-100,,,,,
6/23/2019,LAGOON,3,3,SSID,5,52,21,n,5/20/2022,Diseased,-5.263157895,-5.555555556,-5.882352941,-6.25,0,-6.666666667
10/14/2019,LAGOON,3,4,PSTR,4,25,25,n,Healthy,Healthy,-5,-5.263157895,-5.555555556,-41.17647059,0,-10
6/23/2019,LAGOON,3,7,PAST,NA,29,10,n,Healthy,4/26/2024,n/a,0,-25,-13.33333333,-15.38461538,n/a
6/23/2019,LAGOON,3,8,PAST,3,30,15,n,Healthy,4/26/2024,n/a,-7.692307692,-27.77777778,-88.46153846,-33.33333333,n/a
6/23/2019,LAGOON,3,9,MCAV,5,53,39,n,NA,5/20/2022,-100,,,,,
10/14/2019,LAGOON,3,11,PSTR,4,42,48,n,Unknown,5/20/2022,-100,,,,,
6/23/2019,LAGOON,3,12,MCAV,4,27,15,n,Unknown,5/20/2022,-100,,,,,
