Species,BB,CBC30N,CURLEW,HANGMAN,LAGOON,SR30N,Total
CNAT,0,0,0,0,0,0,0
DLAB,0,2,2,0,2,2,8
MCAV,6,1,3,5,4,5,24
MMEA,0,0,0,0,0,0,0
OANN,7,3,1,5,2,2,20
OFAV,6,0,4,5,2,4,21
PAST,5,1,0,5,3,4,18
PSTR,6,1,2,6,4,2,21
SSID,6,7,0,5,8,7,33
Total,36,15,12,31,25,26,145
